animal_id,name,sex,genotype,dob,
1,Alice-1,F,{CD1},10/16/2019,1
2,Alice-1,F,{CD1},4/10/2020,1
3,Alice-1,F,{CD1},1/25/2021,1
4,Alice-1,F,{CD1},12/31/2021,1
5,Alice-2,F,{CD1},5/10/2021,1
6,Alice-4,F,{CD1},10/16/2019,1
7,Alice-5,F,{CD1},6/26/2019,1
8,Alice-6,F,{CD1},6/30/2019,1
9,Alice-7,F,{CD1},10/7/2019,1
10,Alice-8,F,{CD1},10/7/2019,1
11,Alice-9,F,{CD1},10/25/2019,1
12,Ann-1,F,{B6/J},1/23/2020,1
13,Ann-1,F,{B6/J},1/22/2021,1
14,Ann-1,F,{B6/J},7/31/2021,1
15,Ann-1,F,{B6/J},1/20/2023,1
16,Ann-10,F,{B6/J},10/9/2019,1
17,Ann-11,F,{B6/J},6/7/2020,1
18,Ann-12,F,{B6/J},5/9/2019,1
19,Ann-12,F,{B6/J},6/7/2020,1
20,Ann-13,F,{B6/J},11/27/2020,1
21,Ann-14,F,{B6/J},12/28/2020,1
22,Ann-15,F,{B6/J},5/5/2021,1
23,Ann-16,F,{B6/J},6/18/2021,1
24,Ann-17,F,{B6/J},6/1/2019,1
25,Ann-17,F,{B6/J},12/15/2021,1
26,Ann-18,F,{B6/J},10/9/2019,1
27,Ann-18,F,{B6/J},1/26/2022,1
28,Ann-19,F,{B6/J},11/19/2019,1
29,Ann-19,F,{B6/J},6/23/2022,1
30,Ann-2,F,{B6/J},4/22/2019,1
31,Ann-2,F,{B6/J},1/22/2021,1
32,Ann-2,F,{B6/J},3/13/2023,1
33,Ann-20,F,{B6/J},6/23/2022,1
34,Ann-21,F,{B6/J},7/15/2021,1
35,Ann-21,F,{B6/J},1/12/2023,1
36,Ann-22,F,{B6/J},8/21/2019,1
37,Ann-22,F,{B6/J},7/31/2021,1
38,Ann-22,F,{B6/J},1/12/2023,1
39,Ann-23,F,{B6/J},10/24/2019,1
40,Ann-23,F,{B6/J},12/6/2021,1
41,Ann-23,F,{B6/J},7/8/2023,1
42,Ann-24,F,{B6/J},2/21/2022,1
43,Ann-25,F,{B6/J},2/9/2020,1
44,Ann-26,F,{B6/J},2/9/2020,1
45,Ann-27,F,{B6/J},10/16/2020,1
46,Ann-28,F,{B6/J},10/29/2020,1
47,Ann-29,F,{B6/J},12/28/2020,1
48,Ann-3,F,{B6/J},9/9/2019,1
49,Ann-3,F,{B6/J},7/6/2021,1
50,Ann-3,F,{B6/J},6/2/2023,1
51,Ann-30,F,{B6/J},11/17/2019,1
52,Ann-31,F,{B6/J},11/17/2019,1
53,Ann-31,F,{B6/J},1/23/2020,1
54,Ann-32,F,{B6/J},1/23/2020,1
55,Ann-33,F,{B6/J},1/23/2020,1
56,Ann-34,F,{B6/J},8/12/2020,1
57,Ann-35,F,{B6/J},9/18/2020,1
58,Ann-4,F,{B6/J},11/17/2019,1
59,Ann-4,F,{B6/J},12/6/2021,1
60,Ann-4,F,{B6/J},6/2/2023,1
61,Ann-40,F,{B6/J},7/2/2019,1
62,Ann-41,F,{B6/J},7/2/2019,1
63,Ann-42,F,{B6/J},11/19/2019,1
64,Ann-43,F,{B6/J},11/19/2019,1
65,Ann-44,F,{B6/J},6/22/2020,1
66,Ann-45,F,{B6/J},6/22/2020,1
67,Ann-46,F,{B6/J},8/5/2020,1
68,Ann-47,F,{B6/J},11/27/2020,1
69,Ann-5,F,{B6/J},4/22/2019,1
70,Ann-5,F,{B6/J},7/13/2020,1
71,Ann-5,F,{B6/J},2/21/2022,1
72,Ann-50,F,{B6/J},8/21/2019,1
73,Ann-51,F,{B6/J},8/21/2019,1
74,Ann-51,F,{B6/J},7/2/2020,1
75,Ann-52,F,{B6/J},9/14/2020,1
76,Ann-53,F,{B6/J},1/30/2021,1
77,Ann-54,F,{B6/J},1/30/2021,1
78,Ann-6,F,{B6/J},4/12/2019,1
79,Ann-6,F,{B6/J},9/14/2020,1
80,Ann-6,F,{B6/J},2/21/2022,1
81,Ann-60,F,{B6/J},9/9/2019,1
82,Ann-61,F,{B6/J},9/9/2019,1
83,Ann-61,F,{B6/J},4/1/2020,1
84,Ann-62,F,{B6/J},5/18/2020,1
85,Ann-63,F,{B6/J},10/16/2020,1
86,Ann-7,F,{B6/J},12/28/2020,1
87,Ann-7,F,{B6/J},3/23/2022,1
88,Ann-71,F,{B6/J},11/27/2020,1
89,Ann-8,F,{B6/J},7/14/2022,1
90,Ann-80,F,{B6/J},12/28/2020,1
91,Ann-9,F,{B6/J},8/8/2022,1
92,Betty-1,F,{DIXDC1-KO},11/12/2019,1
93,Betty-1,F,{DIXDC1-KO},4/17/2021,1
94,Betty-2,F,{DIXDC1-KO},5/22/2020,1
95,Betty-2,F,{DIXDC1-KO},5/7/2021,1
96,Betty-2,F,{DIXDC1-KO},11/15/2021,1
97,Betty-3,F,{DIXDC1-KO},5/22/2020,1
98,Betty-3,F,{DIXDC1-KO},12/16/2021,1
99,Betty-4,F,{DIXDC1-KO},9/11/2020,1
100,Betty-4,F,{DIXDC1-KO},12/6/2021,1
101,Betty-5,F,{DIXDC1-KO},9/11/2020,1
102,Betty-5,F,{DIXDC1-KO},3/28/2022,1
103,Betty-6,F,{DIXDC1-KO},12/21/2020,1
104,Betty-6,F,{DIXDC1-KO},5/25/2022,1
105,Betty-7,F,{DIXDC1-KO},8/9/2022,1
106,Betty-8,F,{DIXDC1-KO},4/28/2019,1
107,Betty-9,F,{DIXDC1-KO},9/28/2019,1
108,Bonnie-1,F,{BAX-FLOX},5/25/2022,1
109,Bonnie-10,F,"{BAX-FLOX, RBFOX2-FLOX}",8/7/2022,1
110,Bonnie-11,F,"{CHX10-CRE, BAX-FLOX, RBFOX2-FLOX}",8/7/2022,1
111,Bonnie-12,F,"{CHX10-CRE, BAX-FLOX, RBFOX2-FLOX}",9/17/2022,1
112,Bonnie-13,F,"{BAX-FLOX, RBFOX2-FLOX}",9/17/2022,1
113,Bonnie-14,F,"{BAX-FLOX, RBFOX2-FLOX}",12/28/2022,1
114,Bonnie-15,F,"{BAX-FLOX, RBFOX2-FLOX}",1/29/2023,1
115,Bonnie-16,F,"{CHX10-CRE, BAX-FLOX, RBFOX2-FLOX}",3/14/2023,1
116,Bonnie-17,F,"{CHX10-CRE, BAX-FLOX, RBFOX2-FLOX}",5/1/2023,1
117,Buttercup-70,F,"{VGLUT3-CRE, BAX-KO, ROSA-RFP}",12/2/2020,1
118,Claire-1,F,{ISL1-FLOX},11/3/2019,1
119,Claire-1,F,{ISL1-FLOX},12/4/2020,1
120,Claire-1,F,{ISL1-FLOX},11/22/2022,1
121,Claire-2,F,{ISL1-FLOX},12/24/2019,1
122,Claire-2,F,{ISL1-FLOX},1/23/2021,1
123,Claire-2,F,{ISL1-FLOX},11/22/2022,1
124,Claire-20,F,{ISL1-FLOX},1/24/2020,1
125,Claire-21,F,{ISL1-FLOX},1/24/2020,1
126,Claire-21,F,{ISL1-FLOX},5/13/2020,1
127,Claire-22,F,{ISL1-FLOX},5/13/2020,1
128,Claire-23,F,{ISL1-FLOX},8/13/2020,1
129,Claire-24,F,{ISL1-FLOX},8/13/2020,1
130,Claire-3,F,{ISL1-FLOX},5/17/2019,1
