breeder_pair,litter_date,litter_size
1,1/27/2020,7
1,2/21/2020,0
1,3/24/2020,0
3,4/18/2021,12
3,5/10/2021,17
3,6/1/2021,13
3,6/22/2021,13
3,7/13/2021,14
3,8/3/2021,14
3,8/24/2021,11
4,3/3/2022,9
4,3/25/2022,7
4,5/4/2022,9
5,8/29/2021,11
5,9/20/2021,9
5,10/11/2021,10
5,12/9/2021,10
5,12/31/2021,8
5,2/5/2022,5
5,3/21/2022,6
7,1/21/2020,0
7,3/5/2020,0
8,1/29/2020,8
9,1/9/2020,11
9,2/2/2020,12
10,1/8/2020,9
10,2/2/2020,7
10,2/25/2020,7
10,3/18/2020,6
10,4/10/2020,6
11,1/21/2020,0
11,2/15/2020,5
11,3/9/2020,6
11,4/2/2020,4
12,7/29/2020,0
13,5/5/2021,3
13,6/18/2021,3
13,7/31/2021,3
14,10/12/2021,0
14,11/2/2021,8
14,11/25/2021,3
14,1/9/2022,2
14,1/30/2022,0
14,2/21/2022,6
14,4/13/2022,0
15,5/11/2023,3
15,6/2/2023,4
15,7/22/2023,6
15,8/14/2023,0
15,9/3/2023,6
16,2/9/2020,5
16,3/1/2020,0
16,4/3/2020,2
17,8/15/2020,1
17,9/4/2020,5
17,10/19/2020,7
17,11/9/2020,4
17,12/10/2020,9
17,1/22/2021,8
17,2/15/2021,0
17,3/7/2021,8
18,1/16/2020,8
19,8/14/2020,5
19,9/4/2020,5
19,9/28/2020,0
19,10/18/2020,4
19,11/9/2020,6
19,11/30/2020,7
19,1/19/2021,6
20,2/11/2021,8
20,4/12/2021,4
20,5/3/2021,0
20,5/24/2021,7
20,6/19/2021,3
20,7/30/2021,6
21,3/15/2021,9
21,5/15/2021,9
21,6/8/2021,7
22,8/12/2021,0
22,10/20/2021,1
22,11/12/2021,4
22,12/30/2021,0
23,8/17/2021,3
23,11/2/2021,9
23,12/15/2021,7
23,12/20/2021,0
23,1/28/2022,3
23,2/20/2022,0
23,3/13/2022,2
23,3/16/2022,0
24,1/22/2020,0
24,2/24/2020,7
25,4/28/2022,0
25,7/6/2022,3
26,2/20/2020,9
26,4/3/2020,11
26,4/27/2020,3
26,5/18/2020,5
26,6/11/2020,0
26,7/15/2020,5
27,4/8/2022,0
27,4/28/2022,4
27,5/20/2022,0
27,6/26/2022,8
27,7/20/2022,3
27,8/11/2022,2
27,9/3/2022,0
28,3/7/2020,8
28,4/2/2020,6
28,5/15/2020,8
28,6/7/2020,6
28,7/4/2020,6
28,7/26/2020,5
28,8/17/2020,8
29,9/10/2022,0
29,10/1/2022,5
29,10/23/2022,5
29,11/16/2022,0
29,12/29/2022,6
29,1/20/2023,0
30,1/2/2020,0
30,1/22/2020,0
30,4/30/2021,5
30,7/6/2021,4
30,8/28/2021,3
32,5/28/2023,0
32,7/8/2023,3
33,9/7/2022,6
33,10/28/2022,5
33,12/10/2022,5
33,1/2/2023,0
33,1/27/2023,7
33,2/21/2023,0
34,9/22/2021,7
34,10/15/2021,0
34,11/29/2021,3
34,12/20/2021,0
34,1/10/2022,7
34,2/1/2022,5
34,2/25/2022,5
34,3/21/2022,4
35,5/1/2023,3
35,6/5/2023,6
35,7/18/2023,8
35,9/2/2023,4
35,9/22/2023,0
35,10/27/2023,4
35,12/12/2023,2
36,1/1/2020,6
37,10/15/2021,0
37,11/4/2021,7
37,11/29/2021,0
37,12/17/2021,10
37,1/10/2022,0
37,1/31/2022,2
37,2/24/2022,4
38,5/1/2023,3
38,6/8/2023,3
38,7/24/2023,4
38,8/14/2023,0
38,9/26/2023,5
38,11/12/2023,2
38,12/4/2023,0
39,1/6/2020,6
39,1/29/2020,4
39,2/20/2020,6
39,4/10/2020,6
39,5/1/2020,0
39,5/28/2020,9
39,7/11/2020,7
39,8/5/2020,0
40,3/20/2022,4
40,4/27/2022,6
41,12/11/2023,9
42,5/11/2022,0
42,6/22/2022,6
42,8/7/2022,0
44,7/11/2020,4
44,8/2/2020,4
44,9/16/2020,9
44,10/29/2020,6
44,12/12/2020,4
45,12/31/2020,2
45,1/22/2021,0
45,2/15/2021,3
45,3/30/2021,6
45,4/22/2021,0
45,5/19/2021,7
45,6/12/2021,0
45,7/15/2021,6
45,8/28/2021,5
46,1/3/2021,1
46,1/22/2021,6
46,2/18/2021,4
46,3/13/2021,4
47,4/12/2021,7
47,5/23/2021,9
47,6/14/2021,0
47,7/5/2021,6
47,7/27/2021,4
47,8/18/2021,5
48,1/2/2020,2
48,1/23/2020,6
48,3/4/2020,7
49,10/4/2021,2
49,10/25/2021,4
49,12/6/2021,7
49,12/31/2021,0
49,1/26/2022,8
49,2/21/2022,3
49,3/18/2022,1
50,9/19/2023,1
50,10/10/2023,4
50,11/22/2023,8
51,2/3/2020,3
51,2/25/2020,2
51,4/7/2020,9
51,5/20/2020,6
51,7/2/2020,6
51,8/17/2020,4
51,9/9/2020,0
52,2/9/2020,4
52,3/4/2020,5
52,3/27/2020,7
52,5/8/2020,11
53,7/22/2020,6
53,8/12/2020,3
53,9/18/2020,9
