pair_id,dam,sire,breeding_date
1,1,772,11/6/2019
2,2,773,11/22/2020
3,3,774,3/26/2021
4,4,775,2/10/2022
5,5,776,8/9/2021
6,6,777,11/6/2019
7,7,778,7/17/2019
8,8,779,7/22/2019
9,9,780,10/28/2019
10,10,781,10/28/2019
11,11,782,11/14/2019
12,12,653,6/22/2020
13,13,654,4/8/2021
14,14,655,9/16/2021
15,15,656,4/21/2023
16,16,657,11/5/2019
17,17,690,7/20/2020
18,18,691,6/12/2019
19,19,692,7/20/2020
20,20,693,1/20/2021
21,21,694,2/22/2021
22,22,695,7/19/2021
23,23,696,7/19/2021
24,24,697,6/25/2019
25,25,698,2/16/2022
26,26,699,12/4/2019
27,27,700,2/18/2022
28,28,701,1/29/2020
29,29,702,8/18/2022
30,30,971,5/29/2019
31,31,658,4/8/2021
32,32,659,4/21/2023
33,33,704,8/18/2022
34,34,863,8/30/2021
35,35,705,3/24/2023
36,36,864,9/24/2019
37,37,865,9/16/2021
38,38,706,3/24/2023
39,39,866,11/20/2019
40,40,867,2/23/2022
41,41,707,9/29/2023
42,42,868,4/12/2022
43,43,869,5/19/2020
44,44,870,5/19/2020
45,45,871,12/9/2020
46,46,872,12/9/2020
47,47,873,2/22/2021
48,48,660,10/24/2019
49,49,661,8/11/2021
50,50,662,8/29/2023
51,51,974,1/10/2020
52,52,975,1/10/2020
53,53,975,6/10/2020
54,54,1148,3/17/2020
55,55,1149,3/17/2020
56,56,1150,9/28/2020
57,57,1151,11/5/2020
58,58,665,2/10/2020
59,59,666,3/1/2022
60,60,667,8/29/2023
61,61,1003,7/24/2019
62,62,1004,7/24/2019
63,63,1005,2/3/2020
64,64,1006,2/3/2020
65,65,1007,8/5/2020
66,66,1007,8/5/2020
67,67,1008,10/2/2020
68,68,1009,1/20/2021
69,69,977,5/29/2019
70,70,668,9/2/2020
71,71,669,4/13/2022
72,72,642,10/7/2019
73,73,644,10/7/2019
74,74,979,9/2/2020
75,75,980,10/30/2020
76,76,981,3/9/2021
77,77,982,3/9/2021
78,78,670,6/5/2019
79,79,671,11/22/2020
80,80,672,4/13/2022
81,81,1180,10/22/2019
82,82,1181,10/22/2019
83,83,1182,5/10/2020
84,84,1183,6/24/2020
85,85,1184,11/23/2020
86,86,674,3/26/2021
87,87,675,6/23/2022
88,88,1208,1/20/2021
89,89,679,8/26/2022
90,90,880,2/22/2021
91,91,680,9/10/2022
92,92,926,1/1/2020
93,93,927,6/2/2021
94,94,928,8/20/2020
95,95,929,6/15/2021
96,96,930,1/7/2022
97,97,931,8/20/2020
98,98,932,1/24/2022
99,99,933,11/5/2020
100,100,934,1/24/2022
101,101,935,11/5/2020
102,102,936,5/17/2022
103,103,937,3/26/2021
104,104,938,7/5/2022
105,105,939,8/30/2022
106,106,940,6/25/2019
107,107,941,10/29/2019
108,108,713,7/14/2022
109,109,714,9/16/2022
110,110,715,9/16/2022
111,111,716,10/31/2022
112,112,717,10/31/2022
